Button_Device_MQTT_Prefix,Button,Action,Channel_Prefix,Comment
lighting/buttons/atom-08,a,SingleClick,lighting/panel_1a/switch/channel_4,Craft
lighting/buttons/atom-08,a,SingleClick,lighting/panel_1a/switch/channel_6,Craft
lighting/buttons/atom-08,a,DoubleClick,lighting/panel_1a/switch/channel_4,Craft
lighting/buttons/atom-08,a,LongClick,lighting/panel_1a/switch/channel_6,Craft
lighting/buttons/atom-09,a,SingleClick,lighting/panel_1a/switch/channel_4,Craft
lighting/buttons/atom-09,a,SingleClick,lighting/panel_1a/switch/channel_6,Craft
lighting/buttons/atom-09,a,DoubleClick,lighting/panel_1a/switch/channel_4,Craft
lighting/buttons/atom-09,a,LongClick,lighting/panel_1a/switch/channel_6,Craft
lighting/buttons/atom-10,a,SingleClick,lighting/panel_1a/switch/channel_4,Craft
lighting/buttons/atom-10,a,SingleClick,lighting/panel_1a/switch/channel_6,Craft
lighting/buttons/atom-10,a,DoubleClick,lighting/panel_1a/switch/channel_4,Craft
lighting/buttons/atom-10,a,LongClick,lighting/panel_1a/switch/channel_6,Craft
lighting/buttons/atom-11,a,SingleClick,lighting/panel_1a/switch/channel_2,Cubicals 1st Floor
lighting/buttons/atom-11,a,SingleClick,lighting/panel_1a/switch/channel_3,Cubicals 1st Floor
lighting/buttons/atom-11,a,DoubleClick,lighting/panel_1a/switch/channel_2,Cubicals 1st Floor
lighting/buttons/atom-11,a,LongClick,lighting/panel_1a/switch/channel_3,Cubicals 1st Floor
lighting/buttons/atom-12,a,SingleClick,lighting/panel_1a/switch/channel_2,Cubicals 1st Floor
